FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,24.734116,1.13094495,34.92569,0.6983739,24.3952,0.306,24.9324,-0.065,2.19,0.725,0.144,35.0634,2.63,-0.033,0.888,410.0,530.0,113.0,92.0
IGB110S101,STPS360AF,24.737465,1.13941385,35.24559,0.6978545,24.59845,0.294,24.9299,-0.068,2.19,0.727,0.144,35.3825,2.63,-0.027,0.886,410.0,520.0,113.0,92.0
IGB110S101,STPS360AF,24.74146,1.1477094,35.56427,0.6971525,24.79714,0.306,24.9437,-0.069,2.25,0.728,0.144,35.709,2.63,-0.039,0.885,410.0,520.0,113.0,92.0
IGB110S101,STPS360AF,24.744885,1.15613189,35.87973,0.6963685,24.98913,0.313,24.9474,-0.071,2.25,0.741,0.144,36.0183,2.69,-0.031,0.884,410.0,530.0,116.0,92.0
IGB110S101,STPS360AF,24.748063,1.16436856,36.19753,0.6957969,25.18625,0.313,24.9454,-0.069,2.19,0.737,0.141,36.3345,2.63,-0.035,0.888,390.0,530.0,113.0,95.0
IGB110S101,STPS360AF,24.750906,1.17307348,36.51959,0.6953266,25.38782,0.319,24.9503,-0.076,2.25,0.745,0.138,36.6615,2.69,-0.029,0.884,420.0,520.0,113.0,94.0
IGB110S101,STPS360AF,24.74446,1.17977708,36.78413,0.6934335,25.51016,0.34,24.9518,-0.078,2.25,0.747,0.141,36.9514,2.63,-0.034,0.881,440.0,530.0,113.0,95.0
IGB110S101,STPS360AF,24.732961,1.18791399,37.09348,0.6928508,25.69854,0.313,24.9504,-0.069,2.25,0.752,0.144,37.2391,2.56,-0.03,0.88,420.0,520.0,113.0,100.0
IGB110S101,STPS360AF,24.73361,1.1960866,37.40931,0.6921847,25.89466,0.33,24.9573,-0.067,2.31,0.756,0.141,37.5264,2.63,-0.031,0.877,420.0,520.0,113.0,100.0
IGB110S101,STPS360AF,24.727135,1.20348292,37.68515,0.6911713,26.05605,0.36,24.9356,-0.069,2.25,0.761,0.141,37.8336,2.63,-0.027,0.878,440.0,520.0,116.0,100.0
IGB110S101,STPS360AF,24.727461,1.21194548,38.0055,0.6904752,26.24339,0.36,24.9605,-0.07,2.38,0.767,0.141,38.1525,2.63,-0.038,0.877,440.0,520.0,113.0,100.0
IGB110S101,STPS360AF,24.729657,1.21998794,38.29177,0.6897925,26.41624,0.36,24.9267,-0.071,2.31,0.774,0.141,38.4504,2.56,-0.027,0.873,440.0,520.0,113.0,103.0
IGB110S101,STPS360AF,24.732401,1.22811633,38.62198,0.6893476,26.62213,0.36,24.9491,-0.068,2.31,0.771,0.147,38.7781,2.56,-0.031,0.88,450.0,550.0,116.0,103.0
IGB110S101,STPS360AF,24.734824,1.23533089,38.90897,0.6886238,26.79637,0.34,24.946,-0.069,2.38,0.775,0.15,39.0569,2.56,-0.032,0.874,440.0,530.0,116.0,103.0
IGB110S101,STPS360AF,24.737954,1.24335059,39.21949,0.6877839,26.98355,0.34,24.9404,-0.07,2.38,0.78,0.144,39.3741,2.56,-0.034,0.875,440.0,530.0,113.0,106.0
IGB110S101,STPS360AF,24.741092,1.25113127,39.52617,0.6871488,27.16331,0.36,24.9466,-0.071,2.38,0.789,0.15,39.6764,2.56,-0.031,0.865,440.0,520.0,116.0,106.0
IGB110S101,STPS360AF,24.744031,1.25814459,39.80831,0.6862919,27.32108,0.38,24.9564,-0.074,2.44,0.792,0.15,39.9613,2.56,-0.024,0.869,440.0,520.0,113.0,106.0
IGB110S101,STPS360AF,24.746976,1.26599523,40.11584,0.6854705,27.50048,0.38,24.9545,-0.064,2.38,0.793,0.15,40.2585,2.56,-0.033,0.868,440.0,520.0,116.0,106.0
IGB110S101,STPS360AF,24.749709,1.27306509,40.39919,0.6847094,27.66516,0.36,24.9428,-0.069,2.38,0.8,0.156,40.5492,2.56,-0.035,0.871,450.0,520.0,113.0,106.0
IGB110S101,STPS360AF,24.752986,1.28063778,40.70174,0.6840345,27.84059,0.36,24.9635,-0.073,2.38,0.801,0.153,40.8585,2.56,-0.032,0.872,450.0,520.0,116.0,106.0
IGB110S101,STPS360AF,24.755747,1.28764651,40.9914,0.6829951,27.99014,0.38,24.9638,-0.073,2.44,0.803,0.15,41.1421,2.63,-0.033,0.87,470.0,520.0,116.0,109.0
IGB110S101,STPS360AF,24.758139,1.29519462,41.28548,0.6822937,28.17433,0.38,24.9727,-0.072,2.44,0.809,0.159,41.4439,2.63,-0.025,0.866,470.0,520.0,116.0,106.0
IGB110S101,STPS360AF,24.760208,1.30286569,41.58921,0.6815655,28.34299,0.34,24.9727,-0.069,2.38,0.814,0.15,41.7489,2.56,-0.036,0.863,470.0,520.0,113.0,109.0
IGB110S101,STPS360AF,24.762122,1.31010041,41.86916,0.6806805,28.49883,0.39,24.9652,-0.069,2.44,0.813,0.153,42.0431,2.63,-0.034,0.862,470.0,520.0,116.0,113.0
IGB110S101,STPS360AF,24.762648,1.31293848,41.99141,0.6803434,28.57404,0.36,24.9781,-0.07,2.5,0.819,0.156,42.1521,2.56,-0.032,0.866,470.0,520.0,119.0,113.0
IGB110S101,STPS360AF,24.763702,1.31719124,42.1763,0.6801738,28.68723,0.38,24.9758,-0.069,2.44,0.818,0.156,42.3268,2.56,-0.032,0.864,470.0,520.0,119.0,106.0
IGB110S101,STPS360AF,24.765603,1.32475573,42.46697,0.6790456,28.83648,0.34,24.9693,-0.068,2.5,0.822,0.153,42.6296,2.56,-0.027,0.856,470.0,530.0,113.0,113.0
IGB110S101,STPS360AF,24.767322,1.33138107,42.73587,0.6780849,28.98825,0.34,24.985,-0.071,2.5,0.83,0.159,42.9037,2.56,-0.036,0.858,470.0,530.0,113.0,113.0
IGB110S101,STPS360AF,24.769038,1.33879758,43.03749,0.6774838,29.15614,0.33,24.9801,-0.068,2.5,0.836,0.156,43.2088,2.63,-0.03,0.86,470.0,520.0,119.0,113.0
IGB110S101,STPS360AF,24.77083,1.34604662,43.33626,0.6766753,29.32136,0.319,24.9734,-0.067,2.5,0.834,0.159,43.5094,2.56,-0.031,0.858,480.0,520.0,116.0,113.0
IGB110S101,STPS360AF,24.772647,1.3528497,43.60848,0.6759266,29.47309,0.34,24.974,-0.074,2.5,0.846,0.159,43.7743,2.56,-0.032,0.857,480.0,520.0,119.0,113.0
IGB110S101,STPS360AF,24.774161,1.3592453,43.86979,0.6752673,29.61975,0.34,24.9822,-0.073,2.5,0.846,0.156,44.0414,2.56,-0.033,0.852,480.0,520.0,116.0,116.0
IGB110S101,STPS360AF,24.775842,1.36658121,44.16984,0.6741776,29.78081,0.306,24.9732,-0.075,2.56,0.853,0.163,44.3312,2.56,-0.03,0.854,480.0,520.0,119.0,116.0
IGB110S101,STPS360AF,24.777344,1.37282514,44.43069,0.6734433,29.91776,0.319,24.9791,-0.068,2.5,0.86,0.163,44.6014,2.63,-0.032,0.852,480.0,530.0,116.0,113.0
IGB110S101,STPS360AF,24.778989,1.38007738,44.73499,0.6724434,30.09105,0.33,24.9963,-0.078,2.56,0.859,0.166,44.9071,2.56,-0.034,0.856,500.0,520.0,119.0,119.0
IGB110S101,STPS360AF,24.780756,1.38714517,45.0306,0.6720018,30.25431,0.319,24.9688,-0.073,2.63,0.866,0.166,45.1936,2.56,-0.029,0.851,500.0,520.0,119.0,116.0
IGB110S101,STPS360AF,24.781984,1.39341829,45.28781,0.6709077,30.38247,0.319,24.9645,-0.07,2.56,0.869,0.166,45.4605,2.56,-0.033,0.849,480.0,530.0,119.0,119.0
IGB110S101,STPS360AF,24.78373,1.40028657,45.5753,0.6699481,30.5262,0.33,24.9957,-0.075,2.63,0.875,0.163,45.7532,2.56,-0.031,0.848,500.0,520.0,116.0,119.0
IGB110S101,STPS360AF,24.785193,1.40652164,45.83942,0.669138,30.67078,0.34,24.991,-0.073,2.56,0.875,0.172,46.0173,2.56,-0.027,0.848,500.0,520.0,116.0,122.0
IGB110S101,STPS360AF,24.786809,1.41342426,46.13667,0.6680943,30.82543,0.36,24.9973,-0.075,2.56,0.882,0.169,46.313,2.56,-0.031,0.848,500.0,520.0,119.0,119.0
IGB110S101,STPS360AF,24.787745,1.41735142,46.30783,0.6677153,30.92406,0.33,24.9922,-0.073,2.56,0.88,0.172,46.4815,2.56,-0.025,0.849,500.0,500.0,119.0,122.0
IGB110S101,STPS360AF,24.789523,1.42514339,46.64104,0.6663575,31.07973,0.36,25.0009,-0.069,2.69,0.888,0.175,46.8207,2.5,-0.035,0.838,520.0,520.0,119.0,122.0
IGB110S101,STPS360AF,24.791063,1.43179614,46.93506,0.6654507,31.22687,0.36,24.9983,-0.07,2.63,0.888,0.175,47.1134,2.56,-0.035,0.842,520.0,530.0,122.0,122.0
IGB110S101,STPS360AF,24.792458,1.43808397,47.21197,0.6646122,31.3742,0.36,25.0084,-0.071,2.69,0.898,0.178,47.3714,2.56,-0.032,0.841,520.0,520.0,119.0,119.0
IGB110S101,STPS360AF,24.793932,1.44429881,47.47469,0.6634642,31.49646,0.36,25.0084,-0.075,2.69,0.905,0.184,47.6535,2.56,-0.031,0.841,520.0,520.0,122.0,125.0
IGB110S101,STPS360AF,24.795358,1.44998987,47.72606,0.6626149,31.62836,0.36,25.0068,-0.071,2.69,0.903,0.181,47.9026,2.56,-0.035,0.842,530.0,520.0,116.0,125.0
IGB110S101,STPS360AF,24.796647,1.45538276,47.96523,0.6617233,31.73961,0.36,24.9983,-0.077,2.63,0.907,0.181,48.1448,2.5,-0.028,0.837,530.0,520.0,116.0,122.0
IGB110S101,STPS360AF,24.798091,1.46189132,48.25432,0.6606612,31.88088,0.36,24.9999,-0.073,2.69,0.912,0.184,48.4334,2.5,-0.03,0.838,530.0,520.0,119.0,125.0
IGB110S101,STPS360AF,24.799306,1.46660373,48.46312,0.6600513,31.99011,0.36,24.9988,-0.073,2.69,0.912,0.191,48.645,2.5,-0.027,0.834,530.0,520.0,119.0,125.0
IGB110S101,STPS360AF,24.801136,1.47361922,48.76418,0.6588044,32.12482,0.38,25.0052,-0.069,2.75,0.921,0.197,48.9352,2.5,-0.033,0.831,550.0,520.0,116.0,125.0
IGB110S101,STPS360AF,24.802439,1.47922597,49.03411,0.6578434,32.25861,0.38,25.0121,-0.075,2.69,0.929,0.2,49.2235,2.5,-0.03,0.83,550.0,520.0,116.0,131.0
