FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
6000000.0,19.828219,0.943619945,18.710302922227957,0.004012361,0.001558834,8.941286e-07,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-1.69,-0.13,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.75,-0.06,48.8,48.8,40.6,40.0,-8.1,-8.1,51.9
6100000.0,20.606605,1.20903039,24.914011679725945,0.003481349,0.001611612,5.112191e-07,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-1.69,0.06,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.69,-0.13,50.6,50.6,43.1,43.1,-7.5,-7.5,56.3
6200000.0,22.084831,1.50736702,33.289945891673625,0.003615325,0.001555358,6.749856e-07,8.0,6.19,6.13,6.13,-1.81,-0.06,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.56,-0.06,53.1,53.1,45.6,45.0,-8.8,-8.8,58.8
6300000.0,23.71306,1.79385736,42.5378472091216,0.003687805,0.001630386,1.163583e-06,8.0,6.31,6.13,6.13,-1.88,-0.19,9.9e+37,4.63,9.9e+37,4.56,-2.69,-0.06,56.3,56.9,48.8,48.8,-7.5,-6.9,58.8
6400000.0,24.551013,1.99713124,49.031595035946125,0.003631841,0.001616722,7.107778e-07,8.0,6.13,6.06,6.06,-1.94,-0.06,9.9e+37,4.69,9.9e+37,4.63,-2.75,-0.06,60.0,60.0,52.5,52.5,-6.9,-6.9,59.4
6500000.0,24.959497,2.06087469,51.438395642430926,0.003491506,0.001579865,1.056543e-06,7.75,5.88,5.81,5.25,-2.0,-0.06,8.63,5.06,5.94,5.0,-2.69,-0.06,60.0,53.1,55.0,50.6,-5.6,-2.5,56.9
6600000.0,25.073564,1.98276627,49.71501696788628,0.003698416,0.001550087,9.197902e-07,7.44,5.06,5.56,5.0,-1.94,-0.06,8.5,4.94,5.75,4.81,-2.75,-0.13,58.1,51.3,53.8,49.4,-4.4,-1.9,49.4
6700000.0,25.093799,1.85173493,46.467064134699065,0.003662003,0.001496858,6.29401e-07,7.38,5.0,5.44,4.88,-1.88,-0.06,8.5,5.0,5.69,4.88,-2.75,-0.13,57.5,49.4,53.8,47.5,-3.8,-1.9,52.5
6780000.0,25.111602,1.75011812,43.94826968242824,0.003549208,0.001565284,5.108823e-07,7.25,4.94,5.38,4.88,-1.94,-0.06,8.38,5.0,5.63,4.88,-2.75,-0.13,58.1,56.3,54.4,55.0,-3.1,-1.9,56.9
6800000.0,25.112698,1.72570372,43.337076357836565,0.003669704,0.001478537,6.499981e-07,7.25,5.0,5.31,4.94,-1.88,-0.06,8.38,5.0,5.63,4.88,-2.69,-0.13,57.5,56.3,54.4,54.4,-3.1,-1.9,56.3
6900000.0,25.116059,1.6107127,40.454755205249306,0.003557746,0.001492651,3.822329e-07,7.19,4.94,5.38,4.94,-2.0,-0.06,8.5,5.0,5.69,4.88,-2.75,-0.13,58.1,56.3,54.4,54.4,-3.8,-1.9,56.3
7000000.0,25.109971,1.51722552,38.09748880765992,0.003417206,0.001421444,3.825707e-07,7.31,4.94,5.38,4.88,-1.94,-0.06,8.56,5.06,5.81,4.94,-2.75,-0.13,59.4,57.5,55.0,55.0,-4.4,-2.5,57.5
7100000.0,25.092049,1.43619277,36.037019358285725,0.003669933,0.001487612,4.372721e-07,7.31,4.94,5.38,4.88,-1.94,-0.06,8.56,4.94,5.81,4.88,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,59.4
7200000.0,25.038164,1.34100791,33.57637597587724,0.003767284,0.001503667,5.692977e-07,7.38,4.94,5.38,4.88,-1.94,-0.06,8.5,5.0,5.75,4.88,-2.81,-0.13,63.1,60.0,58.1,58.1,-5.0,-1.9,61.9
7300000.0,25.022841,1.21420365,30.38282487556965,0.003539576,0.001453858,5.189858e-07,7.38,5.0,5.38,4.88,-1.94,-0.13,8.5,4.94,5.69,4.81,-2.81,-0.13,66.9,63.8,61.9,61.9,-5.0,-1.9,65.6
7400000.0,25.079174,1.03462063,25.94743080375962,0.003431113,0.001561738,8.887247e-07,7.44,5.0,5.44,4.94,-2.0,-0.06,8.63,5.06,5.75,4.88,-2.88,-0.13,71.3,68.1,66.3,66.3,-4.4,-1.3,69.4
7500000.0,25.12931,0.795515321,19.99075111115851,0.003508842,0.001489884,3.282069e-07,7.5,5.0,5.5,4.88,-2.0,-0.06,8.63,5.0,5.69,4.88,-2.94,-0.13,75.0,71.3,69.4,69.4,-5.6,-1.9,73.8
