DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
0.3,25.008643,1.58600375,39.663801580411246,47.24139,0.7653599,36.16508,8.0,5.1,5.59,4.89,-2.3,-0.19,8.5,5.1,5.83,4.97,-2.69,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,55.6
0.31,25.012062,1.59127318,39.80102343709716,47.34711,0.7669157,36.30613,7.9,5.1,5.67,4.81,-2.22,-0.19,8.6,5.0,5.75,4.89,-2.84,-0.11,58.8,56.9,55.6,55.6,-3.8,-1.9,56.3
0.32,25.015194,1.59581976,39.91974088543344,47.4025,0.7678805,36.40197,8.0,5.0,5.75,4.89,-2.3,-0.19,8.5,5.1,5.75,4.97,-2.77,-0.19,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
0.33,25.008901,1.60090079,40.0367693679318,47.4891,0.7693653,36.53271,8.0,5.1,5.67,4.81,-2.3,-0.19,8.7,5.0,5.83,4.89,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.3
0.34,25.009316,1.60196786,40.064120432583756,47.48935,0.769784,36.55642,8.0,5.0,5.67,4.81,-2.3,-0.19,8.4,5.0,5.75,4.89,-2.84,-0.11,59.4,56.9,55.0,55.0,-4.4,-1.9,56.9
0.35000000000000003,25.009403,1.60064891,40.03127365170073,47.48929,0.769516,36.53334,8.0,5.1,5.67,4.89,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,59.4,56.9,55.0,55.0,-3.8,-1.9,56.3
0.36000000000000004,25.012254,1.59733897,39.95304804173838,47.44915,0.7686237,36.47156,7.9,5.1,5.59,4.89,-2.22,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,58.8,56.9,55.6,55.0,-3.8,-1.9,56.3
0.37000000000000005,25.009578,1.59324171,39.84630281909838,47.38491,0.7676698,36.37721,8.0,5.0,5.67,4.81,-2.3,-0.19,8.5,5.1,5.83,4.89,-2.84,-0.11,59.4,57.5,55.6,55.6,-3.8,-1.9,56.9
0.38000000000000006,25.011761,1.59042891,39.77942778441051,47.34751,0.7673908,36.33885,8.0,5.0,5.67,4.89,-2.3,-0.19,8.5,4.9,5.75,4.81,-2.84,-0.11,58.1,57.5,55.0,55.0,-3.1,-1.9,56.3
0.39000000000000007,25.011576,1.5899807,39.7679231165832,47.34751,0.7672741,36.32976,8.1,5.0,5.83,4.81,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,58.1,56.9,55.0,55.0,-3.1,-1.9,56.3
0.4000000000000001,25.010556,1.5928114,39.8370987171384,47.34758,0.7677161,36.34612,8.1,5.0,5.75,4.81,-2.38,-0.19,8.7,5.0,5.83,4.89,-2.77,-0.11,58.8,56.3,55.0,55.0,-3.8,-1.3,56.3
