FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_B_pp,V_GS_B_amp,V_DS_A_pp,V_DS_B_pp
6000000.0,25.032754,1.50270529,37.61685185906866,43.70165,0.7082711,30.95443,9.9e+37,9.9e+37,9.9e+37,4.69,61.9,63.1
6100000.0,25.025802,1.78543411,44.68192052090622,48.5921,0.7873383,38.22489,9.9e+37,5.13,9.9e+37,4.75,61.9,63.8
6200000.0,25.022817,1.945415,48.679763534055,51.56228,0.8352909,43.07001,8.19,4.94,9.9e+37,4.88,65.0,61.3
6300000.0,25.012315,1.98627934,49.681444530072106,52.56329,0.8518617,44.7849,8.0,5.06,8.81,5.0,63.8,60.0
6400000.0,25.0121,1.95496416,48.897759066336,52.32509,0.8478069,44.36377,7.88,5.0,8.44,5.06,63.1,61.9
6500000.0,25.007883,1.83641808,45.92492848372464,50.68074,0.8214416,41.63044,7.81,5.0,8.44,5.06,63.1,59.4
6600000.0,25.006253,1.68302428,42.08613095082284,48.40797,0.7842609,37.9577,7.81,5.0,8.44,5.0,61.9,59.4
6700000.0,25.002941,1.55570777,38.897269586551566,46.46477,0.7528232,34.97705,7.88,5.0,8.44,5.0,60.6,57.5
6780000.0,25.001387,1.47201998,36.802541191712265,45.11333,0.7306709,32.96008,7.88,5.0,8.5,5.0,61.3,58.1
6800000.0,25.001483,1.45064196,36.26820030202668,44.75631,0.7251502,32.45517,7.75,5.0,8.5,5.0,60.6,57.5
6900000.0,25.004684,1.35663192,33.922152463913285,43.19914,0.7000863,30.24032,7.81,5.06,8.44,5.0,60.0,58.8
7000000.0,25.008225,1.27537891,31.894962741534748,41.78216,0.6772243,28.29671,7.75,5.0,8.5,5.0,59.4,58.1
7100000.0,25.010822,1.20446892,30.124757762652244,40.50524,0.6564035,26.5864,7.75,5.0,8.44,5.06,60.6,61.3
7200000.0,25.011853,1.1384162,28.473898647218597,39.22587,0.6355313,24.92639,7.81,5.0,8.56,5.06,62.5,62.5
7300000.0,25.01241,1.06133185,26.546467378258498,37.63306,0.6094314,22.93329,7.81,5.0,8.5,4.94,64.4,65.6
7400000.0,25.009396,0.911764741,22.802685466506436,34.40417,0.5572122,19.17014,8.0,5.0,8.56,5.0,69.4,68.1
7500000.0,25.004955,0.743315599,18.586573103793043,30.31961,0.4912315,14.89329,8.06,4.94,8.81,5.0,71.3,71.9
